group,n_samples,accuracy,macro_f1,balanced_accuracy,accuracy_diff_group0_minus_group1,accuracy_t_stat,accuracy_p_value,macro_f1_diff_group0_minus_group1,macro_f1_p_value,balanced_accuracy_diff_group0_minus_group1,balanced_accuracy_p_value
0,81,0.7654320987654321,0.46615855644583415,0.47322404371584703,0.13385315139701104,1.4490176000489081,0.1521898836053364,0.13017972046699816,0.0653869226154769,0.02877959927140261,0.7380523895220956
1,38,0.631578947368421,0.335978835978836,0.4444444444444444,0.13385315139701104,1.4490176000489081,0.1521898836053364,0.13017972046699816,0.0653869226154769,0.02877959927140261,0.7380523895220956
